# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_particle_assisted.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
4, 24, 14, 64, 0.6556, 21.4003, -21.2662, 2.3917, 0.2622, 179.62
4, 26, 1, 9, 0.7111, 17.3402, -10.1123, -14.0863, 0.3556, 201.00
4, 30, 57, 94, 0.6000, 27.9019, 23.3237, 15.3142, 0.1800, 184.33
4, 34, 22, 129, 0.6556, 19.5633, -17.4939, 8.7571, 0.2622, 174.25
4, 38, 7, 76, 0.7056, 1.7669, 1.7669, -0.0112, 0.2822, 209.25
4, 42, 68, 94, 0.7111, 6.1243, 5.7070, 2.2218, 0.3556, 166.80
4, 45, 127, 127, 0.6556, 41.7255, 40.7225, 9.0940, 0.2622, 148.25
4, 50, 103, 113, 0.7611, 1.4900, -1.2842, 0.7556, 0.3806, 136.27
4, 51, 123, 95, 0.6556, 14.9104, 0.2489, -14.9083, 0.2622, 81.00
4, 62, 12, 33, 0.6556, 16.4433, -0.2834, 16.4409, 0.2622, 218.25
4, 63, 61, 62, 0.6556, 20.5881, 8.1956, 18.8865, 0.2622, 195.00
4, 66, 40, 122, 0.6000, 21.5001, 19.6257, 8.7799, 0.1800, 144.67
4, 67, 127, 114, 0.6556, 14.1145, 11.6103, -8.0262, 0.2622, 125.00
4, 56, -12, 130, 0.5556, 35.2531, -35.0751, 3.5382, 0.2222, 205.50
5, 1, 9, 21, 0.6000, 27.0452, -18.7386, 19.5015, 0.1800, 217.67
5, 2, 5, 10, 0.7111, 2.8024, -1.6792, 2.2437, 0.3556, 226.30
5, 6, 3, 29, 0.7111, 8.8505, -3.2873, 8.2174, 0.3556, 233.80
5, 9, 123, 1, 0.7111, 8.7554, 6.7801, -5.5397, 0.3556, 155.60
5, 15, 83, 34, 0.8167, 1.0461, 0.7097, -0.7686, 0.4900, 212.00
5, 20, 31, 30, 0.6000, 17.1845, -3.5402, -16.8159, 0.1800, 206.33
5, 30, 61, 97, 0.6556, 6.7982, 5.6969, 3.7096, 0.2622, 178.00
5, 33, 64, 74, 0.6000, 31.1563, -31.0376, 2.7162, 0.1800, 158.67
5, 34, 22, 129, 0.7111, 1.5043, -1.4710, 0.3149, 0.3556, 176.40
5, 38, 8, 76, 0.7611, 1.2842, 1.2842, -0.0105, 0.3806, 203.00
5, 41, 65, 92, 0.6000, 1.3387, 0.9766, 0.9156, 0.1800, 165.00
5, 50, 102, 113, 0.8167, 1.0377, -0.9967, 0.2888, 0.4900, 138.56
5, 66, 64, 123, 0.6556, 24.2578, 24.1721, 2.0371, 0.2622, 141.75
5, 67, 128, 111, 0.7111, 3.5116, 1.7327, -3.0544, 0.3556, 115.60
5, 5, 72, 0, 0.5556, 21.8084, -21.7728, -1.2466, 0.2222, 159.50
5, 16, 101, 57, 0.5556, 1.9359, -0.7190, 1.7974, 0.2222, 145.25
5, 24, -7, 67, 0.5556, 21.4003, -21.2662, 2.3917, 0.2222, 179.62
5, 26, -9, -5, 0.6111, 17.3402, -10.1123, -14.0863, 0.3056, 201.00
5, 42, 74, 96, 0.6111, 6.1243, 5.7070, 2.2218, 0.3056, 166.80
5, 45, 168, 136, 0.5556, 41.7255, 40.7225, 9.0940, 0.2222, 148.25
5, 51, 123, 80, 0.5556, 14.9104, 0.2489, -14.9083, 0.2222, 81.00
5, 62, 12, 50, 0.5556, 16.4433, -0.2834, 16.4409, 0.2222, 218.25
5, 63, 69, 81, 0.5556, 20.5881, 8.1956, 18.8865, 0.2222, 195.00
6, 1, 0, 70, 0.6556, 46.2113, -10.4133, 45.0228, 0.2622, 208.50
6, 2, 7, 9, 0.7667, 2.2553, 2.2551, -0.0288, 0.4600, 229.58
6, 6, 19, 50, 0.7667, 23.6822, 13.8162, 19.2344, 0.4600, 227.50
6, 9, 123, 2, 0.7667, 0.9432, 0.9432, 0.0005, 0.4600, 155.00
6, 15, 85, 36, 0.8722, 2.1202, 1.7583, 1.1849, 0.6106, 217.29
6, 20, 31, 26, 0.6556, 5.4491, -1.1226, -5.3322, 0.2622, 211.50
6, 33, 32, 93, 0.6556, 36.0619, -31.8980, 16.8220, 0.2622, 163.50
6, 37, 30, 45, 0.6000, 17.8083, 5.8715, -16.8125, 0.1800, 192.33
6, 38, 9, 77, 0.8167, 1.2545, 0.9967, 0.7619, 0.4900, 202.33
6, 50, 100, 114, 0.8722, 1.8792, -1.7178, 0.7619, 0.6106, 141.62
6, 59, 88, 112, 0.6556, 5.8665, 3.2972, -4.8523, 0.2622, 114.50
6, 62, 22, 75, 0.7111, 21.8914, 5.3412, 21.2298, 0.3556, 211.80
6, 67, 127, 112, 0.7667, 0.8138, -0.2662, 0.7690, 0.4600, 108.83
6, 70, 116, 65, 0.6000, 15.2248, -10.2878, 11.2230, 0.1800, 109.00
6, 72, 102, 126, 0.6000, 3.0615, 2.8996, 0.9822, 0.1800, 252.33
6, 26, -19, -20, 0.5111, 17.3402, -10.1123, -14.0863, 0.2556, 201.00
6, 30, 67, 101, 0.5556, 6.7982, 5.6969, 3.7096, 0.2222, 178.00
6, 41, 66, 93, 0.5000, 1.3387, 0.9766, 0.9156, 0.1500, 165.00
6, 42, 79, 99, 0.5111, 6.1243, 5.7070, 2.2218, 0.2556, 166.80
6, 66, 88, 125, 0.5556, 24.2578, 24.1721, 2.0371, 0.2222, 141.75
7, 2, 9, 9, 0.8222, 1.8994, 1.8692, -0.3377, 0.5756, 228.36
7, 9, 123, 3, 0.8222, 0.8263, 0.1270, 0.8165, 0.5756, 153.71
7, 13, 18, 4, 0.6000, 31.9835, -17.0481, -27.0611, 0.1800, 218.33
7, 15, 86, 36, 0.9278, 1.4552, 1.3375, 0.5733, 0.7422, 215.38
7, 20, 31, 27, 0.7111, 0.2682, 0.0552, 0.2624, 0.3556, 212.20
7, 23, 18, 37, 0.6000, 57.6378, -54.1403, -19.7723, 0.1800, 204.00
7, 30, 62, 96, 0.7111, 0.9977, -0.1413, -0.9877, 0.3556, 174.20
7, 37, 30, 42, 0.6556, 4.2913, 0.6577, -4.2406, 0.2622, 198.00
7, 38, 10, 77, 0.8722, 1.0018, 0.9575, 0.2946, 0.6106, 201.00
7, 39, 5, 40, 0.6000, 38.8625, 2.6880, -38.7695, 0.1800, 188.00
7, 41, 66, 93, 0.7056, 0.6879, 0.4710, 0.5014, 0.2822, 165.00
7, 50, 99, 114, 0.9278, 1.3052, -1.2801, 0.2547, 0.7422, 142.92
7, 67, 127, 101, 0.8222, 10.0886, -0.3547, -10.0824, 0.5756, 103.57
7, 72, 104, 127, 0.7056, 2.4997, 2.2858, 1.0119, 0.2822, 253.00
7, 1, -11, 115, 0.5556, 46.2113, -10.4133, 45.0228, 0.2222, 208.50
7, 33, 0, 109, 0.5556, 36.0619, -31.8980, 16.8220, 0.2222, 163.50
7, 59, 91, 107, 0.5556, 5.8665, 3.2972, -4.8523, 0.2222, 114.50
7, 70, 106, 77, 0.5000, 15.2248, -10.2878, 11.2230, 0.1500, 109.00
8, 11, 86, 5, 0.6000, 79.4512, 77.3290, -18.2407, 0.1800, 191.67
8, 12, 81, 35, 0.9333, 6.9309, -5.2623, 4.5106, 0.8400, 173.78
8, 15, 87, 37, 0.9833, 1.3006, 1.0220, 0.8043, 0.8850, 215.67
8, 16, 91, 53, 0.7111, 3.4129, -3.1980, -1.1920, 0.3556, 151.20
8, 19, 71, 25, 0.6000, 61.0302, 58.2496, -18.2120, 0.1800, 194.00
8, 20, 34, 44, 0.7667, 15.7360, 3.2418, 15.3985, 0.4600, 210.17
8, 28, 80, 117, 0.6000, 58.7622, 29.1248, 51.0367, 0.1800, 167.67
8, 37, 30, 43, 0.7111, 0.8044, 0.1884, 0.7820, 0.3556, 201.80
8, 38, 11, 77, 0.9278, 0.9840, 0.9839, 0.0039, 0.7422, 202.62
8, 39, 24, 0, 0.6556, 43.1393, 17.5821, -39.3937, 0.2622, 200.50
8, 41, 67, 93, 0.7611, 0.8629, 0.8586, 0.0860, 0.3806, 164.80
8, 42, 87, 114, 0.7667, 7.2985, 4.4598, 5.7773, 0.4600, 157.50
8, 50, 97, 114, 0.9833, 1.7571, -1.7570, -0.0112, 0.8850, 143.87
8, 59, 98, 93, 0.7111, 11.5172, 5.3235, -10.2131, 0.3556, 114.80
8, 66, 110, 115, 0.7111, 13.8084, 13.2691, -3.8213, 0.3556, 132.40
8, 67, 124, 80, 0.8778, 20.4865, -3.2244, -20.2312, 0.7022, 102.75
8, 70, 99, 90, 0.6556, 15.0503, -8.6138, 12.3416, 0.2622, 110.75
8, 13, 1, -23, 0.5000, 31.9835, -17.0481, -27.0611, 0.1500, 218.33
8, 23, -36, 17, 0.5000, 57.6378, -54.1403, -19.7723, 0.1500, 204.00
8, 72, 106, 128, 0.6056, 2.4997, 2.2858, 1.0119, 0.2422, 253.00
9, 15, 88, 37, 1.0000, 0.9878, 0.9589, 0.2373, 1.0000, 217.80
9, 16, 87, 33, 0.7667, 19.9904, -3.9209, -19.6021, 0.4600, 154.67
9, 22, 104, 23, 0.6000, 39.7702, 30.3234, -25.7325, 0.1800, 204.33
9, 37, 30, 44, 0.7667, 0.8914, -0.0214, 0.8912, 0.4600, 202.50
9, 41, 68, 94, 0.8167, 1.2552, 1.0216, 0.7294, 0.4900, 164.50
9, 50, 96, 115, 1.0000, 1.4455, -1.2617, 0.7054, 1.0000, 139.73
9, 59, 106, 68, 0.7667, 25.5570, 7.5281, -24.4232, 0.4600, 120.17
9, 71, 124, 78, 0.6000, 12.3829, 4.5778, 11.5056, 0.1800, 109.67
9, 11, 164, -14, 0.5000, 79.4512, 77.3290, -18.2407, 0.1500, 191.67
9, 12, 76, 40, 0.8333, 6.9309, -5.2623, 4.5106, 0.7500, 173.78
9, 19, 129, 6, 0.5000, 61.0302, 58.2496, -18.2120, 0.1500, 194.00
9, 28, 109, 168, 0.5000, 58.7622, 29.1248, 51.0367, 0.1500, 167.67
9, 38, 12, 77, 0.8278, 0.9840, 0.9839, 0.0039, 0.6622, 202.62
9, 39, 42, -39, 0.5556, 43.1393, 17.5821, -39.3937, 0.2222, 200.50
9, 42, 91, 120, 0.6667, 7.2985, 4.4598, 5.7773, 0.4000, 157.50
9, 67, 120, 60, 0.7778, 20.4865, -3.2244, -20.2312, 0.6222, 102.75
9, 70, 90, 102, 0.5556, 15.0503, -8.6138, 12.3416, 0.2222, 110.75
9, 72, 109, 129, 0.5056, 2.4997, 2.2858, 1.0119, 0.2022, 253.00
10, 15, 88, 37, 1.0000, 0.2378, 0.2367, -0.0238, 1.0000, 214.82
10, 38, 14, 78, 0.9833, 1.6357, 1.5521, 0.5162, 0.8850, 200.78
10, 41, 74, 90, 0.8222, 6.6095, 5.5860, -3.5329, 0.5756, 164.86
10, 50, 95, 115, 1.0000, 1.0341, -0.9932, 0.2881, 1.0000, 141.21
10, 64, 65, 65, 0.6556, 14.9940, -3.2527, 14.6370, 0.2622, 220.50
10, 12, 71, 44, 0.7333, 6.9309, -5.2623, 4.5106, 0.6600, 173.78
10, 22, 134, -3, 0.5000, 39.7702, 30.3234, -25.7325, 0.1500, 204.33
10, 37, 30, 45, 0.6667, 0.8914, -0.0214, 0.8912, 0.4000, 202.50
10, 42, 96, 125, 0.5667, 7.2985, 4.4598, 5.7773, 0.3400, 157.50
10, 59, 113, 43, 0.6667, 25.5570, 7.5281, -24.4232, 0.4000, 120.17
10, 67, 117, 39, 0.6778, 20.4865, -3.2244, -20.2312, 0.5422, 102.75
10, 71, 128, 89, 0.5000, 12.3829, 4.5778, 11.5056, 0.1500, 109.67
11, 15, 89, 38, 1.0000, 0.9798, 0.6920, 0.6936, 1.0000, 214.67
11, 37, 33, 45, 0.8222, 1.7178, 1.6532, 0.4665, 0.5756, 203.57
11, 38, 16, 77, 1.0000, 2.0232, 1.9279, -0.6137, 1.0000, 198.70
11, 41, 99, 92, 0.8778, 22.5733, 22.5188, 1.5670, 0.7022, 158.25
11, 50, 93, 116, 1.0000, 1.8558, -1.6969, 0.7514, 1.0000, 140.28
11, 59, 108, 21, 0.8222, 23.1938, 0.5624, -23.1870, 0.5756, 124.43
11, 61, 5, 9, 0.6000, 16.6689, -16.6458, -0.8766, 0.1800, 230.67
11, 64, 65, 69, 0.7111, 4.7247, -0.0911, 4.7238, 0.3556, 216.20
11, 70, 68, 122, 0.7111, 14.8479, -10.6840, 10.3108, 0.3556, 117.60
11, 71, 127, 82, 0.6556, 1.6019, 1.4205, 0.7404, 0.2622, 105.75
11, 12, 65, 49, 0.6333, 6.9309, -5.2623, 4.5106, 0.5700, 173.78
12, 15, 90, 38, 1.0000, 1.0301, 0.9876, 0.2929, 1.0000, 214.23
12, 37, 30, 45, 0.8778, 2.7913, -2.7905, 0.0678, 0.7022, 203.12
12, 38, 29, 80, 1.0000, 12.0592, 11.7592, 2.6730, 1.0000, 197.91
12, 42, 93, 116, 0.8222, 1.0924, 0.7509, -0.7933, 0.5756, 151.43
12, 50, 83, 120, 1.0000, 9.4991, -8.6414, 3.9445, 1.0000, 137.49
12, 55, 57, 94, 0.6000, 51.6729, 43.9843, -27.1196, 0.1800, 155.00
12, 64, 74, 87, 0.7667, 18.1433, 7.3314, 16.5961, 0.4600, 208.00
12, 12, 60, 53, 0.5333, 6.9309, -5.2623, 4.5106, 0.4800, 173.78
12, 59, 109, -2, 0.7222, 23.1938, 0.5624, -23.1870, 0.5056, 124.43
12, 61, -11, 8, 0.5000, 16.6689, -16.6458, -0.8766, 0.1500, 230.67
12, 71, 129, 82, 0.5556, 1.6019, 1.4205, 0.7404, 0.2222, 105.75
13, 8, 34, 44, 0.6000, 33.4412, 20.6554, 26.2995, 0.1800, 207.67
13, 15, 90, 38, 1.0000, 0.3117, 0.3112, 0.0174, 1.0000, 212.18
13, 64, 74, 100, 0.8222, 13.2460, 1.1826, 13.1931, 0.5756, 199.57
13, 77, 5, 33, 0.6000, 1.9644, 1.9644, 0.0000, 0.1800, 230.22
13, 37, 27, 45, 0.7778, 2.7913, -2.7905, 0.0678, 0.6222, 203.12
13, 38, 41, 83, 0.9000, 12.0592, 11.7592, 2.6730, 0.9000, 197.91
13, 50, 75, 124, 0.9000, 9.4991, -8.6414, 3.9445, 0.9000, 137.49
13, 55, 101, 67, 0.5000, 51.6729, 43.9843, -27.1196, 0.1500, 155.00
13, 59, 110, -25, 0.6222, 23.1938, 0.5624, -23.1870, 0.4356, 124.43
14, 8, 33, 77, 0.6556, 31.8626, 2.1607, 31.7893, 0.2622, 205.38
14, 15, 88, 31, 1.0000, 6.2508, -2.1995, -5.8510, 1.0000, 209.43
14, 37, 6, 33, 0.9333, 15.1928, -13.5867, -6.7987, 0.8400, 205.72
14, 38, 70, 96, 1.0000, 23.3133, 21.7917, 8.2845, 1.0000, 195.00
14, 55, 94, 39, 0.6556, 31.3271, 15.2404, -27.3700, 0.2622, 163.50
14, 77, 16, 10, 0.6556, 21.8339, 9.5716, -19.6241, 0.2622, 229.92
14, 50, 66, 128, 0.8000, 9.4991, -8.6414, 3.9445, 0.8000, 137.49
14, 64, 75, 113, 0.7222, 13.2460, 1.1826, 13.1931, 0.5056, 199.57
15, 8, 38, 117, 0.7111, 38.9963, 4.2137, 38.7680, 0.3556, 193.50
15, 15, 87, 29, 1.0000, 2.7302, -1.0022, -2.5396, 1.0000, 207.47
15, 38, 85, 105, 1.0000, 18.1987, 15.7226, 9.1648, 1.0000, 189.38
15, 50, 42, 122, 1.0000, 14.9328, -14.9318, -0.1713, 1.0000, 138.45
15, 55, 95, 34, 0.7111, 7.1551, 2.5401, -6.6890, 0.3556, 170.00
15, 77, 19, 5, 0.7111, 8.2600, 4.0243, -7.2133, 0.3556, 232.13
15, 78, 37, 45, 0.6000, 12.5953, -5.1797, 11.4810, 0.1800, 214.00
16, 10, 74, 51, 0.6000, 48.8178, -38.9434, 29.4379, 0.1800, 167.17
16, 12, 55, 40, 0.9889, 2.6343, -2.4725, -0.9089, 0.9889, 176.50
16, 48, 61, 76, 0.6000, 48.7146, 40.8186, -26.5887, 0.1800, 165.67
16, 50, 21, 107, 1.0000, 25.0190, -20.6325, -14.1510, 1.0000, 140.22
16, 78, 22, 78, 0.6556, 33.3012, -13.8880, 30.2670, 0.2622, 216.25
16, 8, 42, 155, 0.6111, 38.9963, 4.2137, 38.7680, 0.3056, 193.50
16, 15, 86, 27, 0.9000, 2.7302, -1.0022, -2.5396, 0.9000, 207.47
17, 10, 26, 58, 0.6556, 47.6566, -46.4750, 10.5463, 0.2622, 174.38
17, 15, 87, 30, 1.0000, 0.6189, 0.2160, 0.5800, 1.0000, 205.44
17, 18, 100, 108, 0.6000, 67.8517, 5.7034, 67.6116, 0.1800, 162.33
17, 25, 109, 102, 0.6000, 45.7641, 1.8903, 45.7250, 0.1800, 131.33
17, 54, 74, 122, 0.6000, 50.7034, 50.4797, 4.7583, 0.1800, 139.00
17, 74, 2, 51, 0.6000, 34.4408, -0.9709, 34.4271, 0.1800, 206.67
17, 80, 20, 7, 0.6000, 1.0996, 1.0901, 0.1445, 0.1800, 220.00
17, 84, 1, 34, 0.6000, 24.8221, -8.4642, 23.3344, 0.1800, 213.00
17, 86, 10, 32, 0.6000, 1.9174, 1.9174, 0.0000, 0.1800, 251.00
17, 8, 46, 194, 0.5111, 38.9963, 4.2137, 38.7680, 0.2556, 193.50
17, 48, 102, 50, 0.5000, 48.7146, 40.8186, -26.5887, 0.1500, 165.67
17, 78, 8, 108, 0.5556, 33.3012, -13.8880, 30.2670, 0.2222, 216.25
18, 15, 87, 30, 1.0000, 0.3761, 0.1344, 0.3512, 1.0000, 203.75
18, 74, 19, 82, 0.6556, 35.3602, 14.9057, 32.0649, 0.2622, 202.50
18, 80, 21, 6, 0.7056, 1.2647, 0.9855, -0.7926, 0.2822, 219.50
18, 86, 11, 32, 0.7056, 1.2739, 1.2739, 0.0000, 0.2822, 252.00
18, 92, 45, 3, 0.6000, 47.3297, 41.1511, -23.3813, 0.1800, 207.33
18, 10, -20, 69, 0.5556, 47.6566, -46.4750, 10.5463, 0.2222, 174.38
18, 18, 105, 175, 0.5000, 67.8517, 5.7034, 67.6116, 0.1500, 162.33
18, 25, 111, 148, 0.5000, 45.7641, 1.8903, 45.7250, 0.1500, 131.33
18, 54, 124, 127, 0.5000, 50.7034, 50.4797, 4.7583, 0.1500, 139.00
18, 84, -7, 57, 0.5000, 24.8221, -8.4642, 23.3344, 0.1500, 213.00
19, 74, 28, 106, 0.7111, 26.5654, 9.4172, 24.8402, 0.3556, 195.00
19, 78, 1, 115, 0.7111, 9.4264, -5.1995, 7.8627, 0.3556, 207.00
19, 80, 34, 5, 0.7111, 11.7184, 11.6690, -1.0754, 0.3556, 218.20
19, 86, 13, 31, 0.7611, 1.9037, 1.7439, -0.7635, 0.3806, 251.80
19, 92, 86, -20, 0.5000, 47.3297, 41.1511, -23.3813, 0.1500, 207.33
20, 59, 102, 10, 0.9889, 1.3660, 0.9343, 0.9965, 0.9889, 133.70
20, 81, 34, 74, 0.6000, 71.2161, 28.5745, 65.2322, 0.1800, 208.67
20, 86, 14, 31, 0.8167, 1.2774, 1.2437, -0.2911, 0.4900, 251.50
20, 74, 37, 131, 0.6111, 26.5654, 9.4172, 24.8402, 0.3056, 195.00
20, 80, 46, 4, 0.6111, 11.7184, 11.6690, -1.0754, 0.3056, 218.20
21, 32, 38, 80, 0.6000, 16.3272, 7.6921, 14.4017, 0.1800, 183.67
21, 73, 109, 121, 0.6000, 20.3424, 19.9819, -3.8131, 0.1800, 110.00
21, 83, 47, 33, 0.6000, 10.9324, 9.9586, -4.5102, 0.1800, 204.67
21, 86, 16, 31, 0.8722, 1.7463, 1.7463, -0.0014, 0.6106, 251.57
21, 74, 47, 156, 0.5111, 26.5654, 9.4172, 24.8402, 0.2556, 195.00
21, 81, 63, 139, 0.5000, 71.2161, 28.5745, 65.2322, 0.1500, 208.67
22, 40, 83, 96, 0.6556, 24.7614, -19.6285, 15.0946, 0.2622, 126.25
22, 73, 113, 121, 0.6556, 6.3612, 6.3537, -0.3075, 0.2622, 104.25
22, 83, 50, 32, 0.6556, 4.0630, 3.8160, -1.3950, 0.2622, 203.50
22, 86, 17, 31, 0.9278, 1.2559, 1.2552, 0.0418, 0.7422, 251.62
22, 91, 38, 68, 0.6000, 46.0578, 18.8686, 42.0154, 0.1800, 205.67
22, 94, 25, 86, 0.6000, 1.3717, 0.9456, 0.9937, 0.1800, 196.00
22, 96, 78, 121, 0.6000, 0.9867, -0.9822, -0.0939, 0.1800, 138.56
22, 32, 45, 95, 0.5000, 16.3272, 7.6921, 14.4017, 0.1500, 183.67
23, 32, 41, 83, 0.6556, 1.2106, 1.1822, -0.2608, 0.2622, 184.50
23, 40, 75, 120, 0.7111, 24.2380, -9.4696, 22.3116, 0.3556, 132.80
23, 73, 114, 122, 0.7111, 1.3244, 1.2686, 0.3806, 0.3556, 105.40
23, 86, 19, 31, 0.9833, 1.7431, 1.7430, 0.0167, 0.8850, 251.00
23, 91, 61, 106, 0.6556, 44.4627, 22.5991, 38.2912, 0.2622, 187.50
23, 94, 26, 87, 0.7056, 1.4333, 1.0191, 1.0079, 0.2822, 192.75
23, 95, 119, 109, 0.6000, 12.9165, 11.7626, -5.3363, 0.1800, 89.67
23, 96, 106, 117, 0.6556, 24.1903, 23.8956, -3.7643, 0.2622, 125.42
23, 83, 54, 31, 0.5556, 4.0630, 3.8160, -1.3950, 0.2222, 203.50
24, 32, 61, 87, 0.7111, 18.3827, 17.9684, 3.8809, 0.3556, 179.80
24, 40, 64, 128, 0.7667, 14.7254, -10.6880, 10.1293, 0.4600, 132.83
24, 43, 5, 38, 0.6000, 68.9081, -41.4927, -55.0153, 0.1800, 183.00
24, 47, 121, 53, 0.6000, 43.7037, 4.8273, -43.4362, 0.1800, 121.67
24, 57, 6, 54, 0.6000, 65.8818, 5.7848, -65.6273, 0.1800, 159.00
24, 73, 111, 117, 0.7667, 5.1783, -2.7356, -4.3967, 0.4600, 102.67
24, 76, 16, 101, 0.6000, 53.1687, -48.1062, -22.6431, 0.1800, 137.67
24, 86, 21, 30, 1.0000, 2.1419, 2.0074, -0.7470, 1.0000, 251.10
24, 91, 85, 126, 0.7111, 32.3357, 23.3988, 22.3180, 0.3556, 172.80
24, 94, 27, 88, 0.7611, 1.4270, 1.0143, 1.0037, 0.3806, 194.20
24, 95, 131, 104, 0.5000, 12.9165, 11.7626, -5.3363, 0.1500, 89.67
24, 96, 130, 113, 0.5556, 24.1903, 23.8956, -3.7643, 0.2222, 125.42
25, 57, 27, 2, 0.6556, 57.2484, 18.9227, -54.0307, 0.2622, 178.50
25, 73, 111, 115, 0.8222, 1.7346, 0.3348, -1.7020, 0.5756, 100.86
25, 79, 115, 121, 0.6000, 44.5946, -4.7329, 44.3427, 0.1800, 92.67
25, 86, 22, 30, 1.0000, 1.3336, 1.2980, -0.3058, 1.0000, 251.45
25, 89, 36, 62, 0.6000, 56.7012, 9.1935, 55.9509, 0.1800, 215.00
25, 94, 28, 88, 0.8167, 1.0301, 1.0027, 0.2360, 0.4900, 199.33
25, 40, 54, 138, 0.6667, 14.7254, -10.6880, 10.1293, 0.4000, 132.83
25, 43, -36, -17, 0.5000, 68.9081, -41.4927, -55.0153, 0.1500, 183.00
25, 47, 126, 10, 0.5000, 43.7037, 4.8273, -43.4362, 0.1500, 121.67
25, 76, -32, 79, 0.5000, 53.1687, -48.1062, -22.6431, 0.1500, 137.67
25, 91, 108, 148, 0.6111, 32.3357, 23.3988, 22.3180, 0.3056, 172.80
26, 47, 119, 19, 0.6556, 14.2405, -1.3546, -14.1759, 0.2622, 125.25
26, 69, 30, 5, 0.6000, 35.6162, -22.1355, -27.9021, 0.1800, 218.00
26, 73, 113, 117, 0.8778, 1.5381, 1.3069, 0.8110, 0.7022, 98.88
26, 83, 53, 33, 0.7111, 0.6157, -0.1802, 0.5887, 0.3556, 202.00
26, 86, 24, 30, 1.0000, 1.7100, 1.7100, -0.0133, 1.0000, 251.58
26, 94, 29, 89, 0.8722, 1.2230, 0.9990, 0.7056, 0.6106, 197.71
26, 57, 46, -52, 0.5556, 57.2484, 18.9227, -54.0307, 0.2222, 178.50
